DISTRICT,COUNTY,AVG CONCEN,Field,FIELD,Formation,FORMATION,FORM_ID,FORM_AGE,ABRV,LONG_NAME,Longitude,Latitude
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,ANDREWS,5174,LITTMAN,LITTMAN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-103.0515501087143,32.493479296
8,ANDREWS,5174,LITTMAN,LITTMAN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-103.0515501087143,32.493479296
8,ANDREWS,5174,LITTMAN,LITTMAN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-103.0515501087143,32.493479296
8,GLASSCOCK,17245,MCDOWELL,MCDOWELL,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.55866062605,32.02751998945
8,GLASSCOCK,17245,MCDOWELL,MCDOWELL,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.55866062605,32.02751998945
8,GLASSCOCK,17245,MCDOWELL,MCDOWELL,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.55866062605,32.02751998945
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,GLASSCOCK,17245,MCDOWELL,MCDOWELL,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.55866062605,32.02751998945
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,CRANE,25195,C-BAR,C-BAR,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.58778481158329,31.57896591441071
8,ANDREWS,30799,SHAFTERLAKE,SHAFTER LAKE,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.65363396191108,32.3692257022406
8,ANDREWS,30799,SHAFTERLAKE,SHAFTER LAKE,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.65363396191108,32.3692257022406
8,ANDREWS,30799,SHAFTERLAKE,SHAFTER LAKE,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.65363396191108,32.3692257022406
8,ANDREWS,30799,SHAFTERLAKE,SHAFTER LAKE,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.65363396191108,32.3692257022406
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
8,ANDREWS,51787,"SHAFTERLAKE,N.",SHAFTER LAKE N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6633247990972,32.41336092200348
