District,Discovery County,Avg Concen,Field,Formation
7C,CROCKETT,21580,"TODD,DEEP",ELLENBURGER
7C,CROCKETT,5802,"TODD,NORTH",SANANDRES
7C,CROCKETT,9737,"TODD,NW.",SANANDRES
7C,CROCKETT,26066,"TODD,SW.",GRAYBURG
7C,CROCKETT,35655,"TODD,SW.","SANANDRES,LO."
7C,CROCKETT,14396,"TODD,SW.","SANANDRES,UP."
7C,CROCKETT,14231,"TODD,W.",SANANDRES
7C,CROCKETT,22150,TODLAW,QUEEN
7C,VALVERDE,317,TOMM.,ELLENBURGER
7C,CROCKETT,9805,TOMT,ELLENBURGER
7C,CROCKETT,4000,TREK,PENN
7C,CROCKETT,30638,TRIPOLI,ELLEN
7C,CROCKETT,15266,TRIPOLI,PENN.DETRITAL
7C,REAGAN,14552,V-BAR,SANANDRES
7C,CROCKETT,18228,VAUGHN,ELLENBURGER
7C,CROCKETT,15631,VAUGHN,QUEEN
7C,CROCKETT,11640,"VAUGHN,N.",ELLENBURGER
7C,TOMGREEN,86,"VERIBEST,EAST",STRAWN
7C,UPTON,60000,WEBBRAY,ELLENBURGER
7C,CROCKETT,29377,WEGER,SANANDRES
7C,CROCKETT,21123,"WEGER,SW.",GRAYBURG-SANANDRES
7C,CROCKETT,28669,"WEGER,WEST",GRAYBURG
7C,UPTON,135,WILSHIRE,CONSOLIDATED
7C,UPTON,415,WILSHIRE,DEVONIAN
7C,UPTON,2052,WILSHIRE,ELLENBURGER
7C,UPTON,659,WILSHIRE,PENNSYLVANIAN
7C,RUNNELS,6701,WINTERS,CAPPS
7C,RUNNELS,142,"WINTERS,SW.",GARDNERLIME
7C,CROCKETT,24585,WORLD,ELLENBURGER
7C,CROCKETT,1402,"WORLD,EAST",STRAWN
7C,CROCKETT,366,"WORLD,WEST",STRAWN
7C,CROCKETT,500,WYATT,"ELLENBURGER,UPPER"
7C,IRION,900,ZLG,STRAWN
7C,REAGAN,19550,ZZTOP,FUSSELMAN
